"id" ;"levenshtein_text_first_255" ;"diff_ari" ;"diff_characters_text" ;"diff_coleman_liau_text" ;"diff_complexwords_text" ;"diff_flesch_kincaid_text" ;"diff_flesch_reading_text" ;"diff_gunning_fog_text" ;"diff_sentences_text" ;"diff_smog_index_text" ;"diff_smog_text" ;"diff_syllables_text" ;"diff_words_text" ;"good" ;"comm_name"
2,122 ;194 ;2.686 ;760 ;1.067 ;25 ;1.674 ;0.233 ;3.2 ;9 ;2.197 ;2.291 ;263 ;177 ;yes ;biology.stackexchange.com
2,122 ;201 ;0.176 ;756 ;1.249 ;26 ;0.974 ;0.053 ;2.8 ;10 ;1.996 ;2.081 ;266 ;178 ;yes ;biology.stackexchange.com
2,124 ;197 ;1.325 ;567 ;0.312 ;17 ;0.116 ;7.634 ;2 ;8 ;1.292 ;1.348 ;189 ;135 ;yes ;biology.stackexchange.com
2,124 ;194 ;1.185 ;563 ;2.628 ;18 ;0.584 ;7.454 ;1.6 ;9 ;1.091 ;1.138 ;192 ;136 ;yes ;biology.stackexchange.com
2,126 ;204 ;2 ;285 ;0.531 ;10 ;2.692 ;10.845 ;3.6 ;2 ;2.269 ;2.366 ;108 ;67 ;yes ;biology.stackexchange.com
2,126 ;198 ;0.754 ;31 ;1.004 ;5 ;2.08 ;12.243 ;3.6 ;1 ;2.647 ;2.76 ;0 ;7 ;yes ;biology.stackexchange.com
2,127 ;206 ;4.354 ;514 ;2.329 ;13 ;4.039 ;17.236 ;4 ;5 ;2.269 ;2.366 ;181 ;116 ;yes ;biology.stackexchange.com
2,127 ;197 ;3.108 ;198 ;2.802 ;8 ;3.427 ;18.634 ;4 ;2 ;2.647 ;2.76 ;73 ;42 ;yes ;biology.stackexchange.com
2,128 ;209 ;0.931 ;791 ;0.092 ;35 ;0.341 ;0.61 ;0.4 ;8 ;0.379 ;0.394 ;282 ;172 ;yes ;biology.stackexchange.com
2,128 ;216 ;0.003 ;1,150 ;1.403 ;51 ;1.082 ;11.764 ;2 ;11 ;2.053 ;2.14 ;410 ;244 ;yes ;biology.stackexchange.com
2,128 ;215 ;3.245 ;667 ;5.121 ;37 ;1.681 ;15.079 ;2.4 ;5 ;2.476 ;2.581 ;207 ;98 ;yes ;biology.stackexchange.com
2,129 ;193 ;16.794 ;771 ;13.129 ;39 ;12.566 ;64.817 ;14.4 ;4 ;12.928 ;13.484 ;259 ;142 ;yes ;biology.stackexchange.com
2,129 ;203 ;2.328 ;307 ;3.001 ;24 ;2.984 ;21.653 ;3.6 ;2 ;3.441 ;3.589 ;115 ;49 ;yes ;biology.stackexchange.com
2,131 ;209 ;5.815 ;185 ;3.121 ;7 ;4.934 ;20.705 ;4.8 ;1 ;2.991 ;3.12 ;67 ;37 ;yes ;biology.stackexchange.com
2,131 ;200 ;1.579 ;341 ;2.237 ;8 ;0.796 ;9.132 ;2 ;3 ;0.991 ;1.034 ;120 ;87 ;yes ;biology.stackexchange.com
2,132 ;231 ;5.485 ;590 ;1.842 ;18 ;5.117 ;11.901 ;4.8 ;10 ;1.741 ;1.816 ;198 ;128 ;yes ;biology.stackexchange.com
2,132 ;213 ;5.923 ;492 ;2.561 ;8 ;5.309 ;24.262 ;7.2 ;9 ;4.903 ;5.114 ;166 ;117 ;yes ;biology.stackexchange.com
2,133 ;218 ;3.837 ;265 ;1.488 ;10 ;3.334 ;5.995 ;3.2 ;5 ;1.478 ;1.542 ;89 ;52 ;yes ;biology.stackexchange.com
2,133 ;208 ;2.83 ;176 ;0.947 ;2 ;2.473 ;7.5 ;1.2 ;1 ;0.822 ;0.857 ;65 ;39 ;yes ;biology.stackexchange.com
2,133 ;204 ;0.386 ;393 ;2.862 ;15 ;0.209 ;5.277 ;0 ;5 ;0.469 ;0.488 ;133 ;77 ;yes ;biology.stackexchange.com
2,137 ;214 ;7.297 ;999 ;5.934 ;44 ;5.848 ;29.984 ;7.2 ;8 ;4.929 ;5.141 ;343 ;200 ;yes ;biology.stackexchange.com
2,137 ;196 ;3.061 ;1,155 ;0.576 ;45 ;1.71 ;0.147 ;4.4 ;12 ;2.929 ;3.055 ;396 ;250 ;yes ;biology.stackexchange.com
2,138 ;201 ;18.401 ;952 ;6.523 ;39 ;12.98 ;37.554 ;14.4 ;3 ;9.014 ;9.402 ;345 ;210 ;yes ;biology.stackexchange.com
2,138 ;217 ;12.585 ;759 ;3.243 ;33 ;9.927 ;32.731 ;10.4 ;2 ;6.275 ;6.546 ;277 ;164 ;yes ;biology.stackexchange.com
2,141 ;211 ;3.944 ;895 ;2.408 ;33 ;2.671 ;9.106 ;3.2 ;5 ;2.27 ;2.367 ;319 ;197 ;yes ;biology.stackexchange.com
2,141 ;214 ;10.116 ;305 ;2.708 ;11 ;10.368 ;43.163 ;9.2 ;0 ;5.504 ;5.741 ;123 ;70 ;yes ;biology.stackexchange.com
2,142 ;204 ;5.998 ;725 ;3.308 ;18 ;4.806 ;0.818 ;4 ;1 ;2.089 ;2.178 ;269 ;186 ;yes ;biology.stackexchange.com
2,142 ;211 ;8.062 ;475 ;8.424 ;26 ;8.233 ;51.451 ;8.4 ;4 ;5.685 ;5.93 ;173 ;81 ;yes ;biology.stackexchange.com
2,143 ;215 ;3.268 ;624 ;1.48 ;23 ;1.836 ;5.742 ;2.8 ;4 ;2.128 ;2.22 ;198 ;127 ;yes ;biology.stackexchange.com
2,143 ;210 ;4.514 ;940 ;1.007 ;28 ;2.448 ;4.344 ;2.8 ;7 ;1.75 ;1.826 ;306 ;201 ;yes ;biology.stackexchange.com
2,144 ;208 ;9.443 ;1,095 ;1.311 ;36 ;6.332 ;12.648 ;6.4 ;5 ;3.434 ;3.581 ;391 ;248 ;yes ;biology.stackexchange.com
2,144 ;211 ;4.617 ;105 ;3.805 ;8 ;6.707 ;39.621 ;6 ;0 ;4.34 ;4.527 ;51 ;19 ;yes ;biology.stackexchange.com
2,146 ;196 ;6.887 ;458 ;1.86 ;10 ;4.164 ;10.615 ;2.8 ;1 ;2.034 ;2.122 ;142 ;82 ;yes ;biology.stackexchange.com
2,146 ;200 ;3.357 ;753 ;1.853 ;31 ;3.292 ;16.923 ;3.6 ;5 ;2.749 ;2.867 ;266 ;145 ;yes ;biology.stackexchange.com
2,146 ;207 ;7.787 ;768 ;6.236 ;32 ;5.586 ;30.077 ;5.6 ;4 ;4.086 ;4.262 ;259 ;132 ;yes ;biology.stackexchange.com
2,147 ;194 ;2.884 ;391 ;0.168 ;12 ;3.536 ;15.552 ;2 ;3 ;1.12 ;1.168 ;144 ;91 ;yes ;biology.stackexchange.com
2,147 ;184 ;3.783 ;480 ;0.709 ;20 ;2.271 ;2.057 ;2.4 ;9 ;1.18 ;1.231 ;168 ;104 ;yes ;biology.stackexchange.com
2,147 ;192 ;1.339 ;263 ;1.206 ;7 ;0.411 ;4.28 ;1.2 ;3 ;0.827 ;0.862 ;100 ;66 ;yes ;biology.stackexchange.com
2,148 ;202 ;10.394 ;1,049 ;2.352 ;39 ;7.903 ;20.639 ;8.8 ;2 ;5.364 ;5.595 ;365 ;227 ;yes ;biology.stackexchange.com
2,148 ;212 ;8.58 ;1,138 ;1.224 ;35 ;5.354 ;8.465 ;4.4 ;5 ;2.218 ;2.313 ;389 ;247 ;yes ;biology.stackexchange.com
2,149 ;203 ;9.906 ;325 ;5.487 ;9 ;7.289 ;24.06 ;7.2 ;1 ;4.611 ;4.809 ;110 ;70 ;yes ;biology.stackexchange.com
2,149 ;216 ;3.53 ;199 ;2.245 ;1 ;2.567 ;3.409 ;0 ;0 ;0.423 ;0.441 ;68 ;49 ;yes ;biology.stackexchange.com
2,149 ;221 ;4.325 ;44 ;0.572 ;4 ;3.342 ;7.343 ;5.2 ;2 ;3.167 ;3.303 ;15 ;11 ;yes ;biology.stackexchange.com
2,150 ;198 ;4.516 ;126 ;3.331 ;12 ;2.126 ;13.178 ;1.6 ;5 ;2.774 ;2.892 ;52 ;14 ;yes ;biology.stackexchange.com
2,150 ;212 ;2.702 ;37 ;4.459 ;16 ;0.423 ;25.352 ;2.8 ;2 ;5.92 ;6.174 ;28 ;6 ;yes ;biology.stackexchange.com
2,151 ;194 ;3.681 ;648 ;1.453 ;46 ;2.397 ;2.913 ;0.8 ;7 ;0.502 ;0.524 ;231 ;111 ;yes ;biology.stackexchange.com
2,151 ;201 ;5.476 ;1,055 ;3.775 ;57 ;3.299 ;14.898 ;4.8 ;7 ;3.301 ;3.443 ;359 ;192 ;yes ;biology.stackexchange.com
2,151 ;201 ;2.569 ;1,231 ;2.154 ;63 ;0.614 ;10.884 ;3.2 ;9 ;2.739 ;2.856 ;426 ;241 ;yes ;biology.stackexchange.com
2,152 ;190 ;9.333 ;570 ;3.584 ;19 ;6.583 ;21.31 ;6 ;2 ;3.191 ;3.328 ;192 ;114 ;yes ;biology.stackexchange.com
2,152 ;189 ;0.176 ;163 ;1.262 ;8 ;0.887 ;9.325 ;0.4 ;2 ;0.392 ;0.409 ;64 ;33 ;yes ;biology.stackexchange.com
2,152 ;202 ;3.083 ;13 ;7.191 ;2 ;3.572 ;35.107 ;2 ;0 ;0.954 ;0.996 ;3 ;16 ;yes ;biology.stackexchange.com
2,154 ;204 ;9.244 ;139 ;2.972 ;8 ;7.854 ;28.995 ;7.2 ;2 ;4.512 ;4.706 ;55 ;21 ;yes ;biology.stackexchange.com
2,154 ;207 ;2.798 ;200 ;2.248 ;4 ;2.104 ;11.521 ;2.8 ;2 ;1.962 ;2.046 ;78 ;59 ;yes ;biology.stackexchange.com
2,154 ;214 ;10.126 ;3,465 ;1.469 ;136 ;8.856 ;28.761 ;8.8 ;52 ;5.57 ;5.809 ;1,190 ;754 ;yes ;biology.stackexchange.com
2,155 ;222 ;1.038 ;621 ;5.197 ;33 ;1.545 ;7.429 ;0.8 ;7 ;1.915 ;1.997 ;207 ;113 ;yes ;biology.stackexchange.com
