"id" ;"levenshtein_text_first_255" ;"diff_ari" ;"diff_characters_text" ;"diff_coleman_liau_text" ;"diff_complexwords_text" ;"diff_flesch_kincaid_text" ;"diff_flesch_reading_text" ;"diff_gunning_fog_text" ;"diff_sentences_text" ;"diff_smog_index_text" ;"diff_smog_text" ;"diff_syllables_text" ;"diff_words_text" ;"good" ;"comm_name"
38,134 ;224 ;4.997 ;34 ;2.515 ;2 ;4.387 ;17.965 ;5.2 ;3 ;3.208 ;3.347 ;9 ;13 ;yes ;chemistry.stackexchange.com
38,135 ;186 ;5.559 ;779 ;0.428 ;23 ;6.15 ;22.661 ;6.8 ;7 ;4.188 ;4.368 ;300 ;209 ;yes ;chemistry.stackexchange.com
38,135 ;210 ;0.611 ;557 ;2.296 ;12 ;0.26 ;2.5 ;0.8 ;6 ;1.214 ;1.266 ;218 ;158 ;yes ;chemistry.stackexchange.com
38,141 ;201 ;2.759 ;306 ;1.992 ;13 ;0.207 ;2.668 ;2 ;2 ;1.693 ;1.766 ;89 ;56 ;yes ;chemistry.stackexchange.com
38,141 ;201 ;2.547 ;174 ;2.537 ;3 ;3.117 ;3.198 ;1.6 ;0 ;1.271 ;1.326 ;71 ;43 ;yes ;chemistry.stackexchange.com
38,141 ;204 ;2.345 ;61 ;1.526 ;0 ;2.979 ;17.351 ;0.4 ;0 ;0 ;0 ;29 ;9 ;yes ;chemistry.stackexchange.com
38,144 ;196 ;5.383 ;290 ;4.25 ;8 ;4.309 ;18.129 ;3.6 ;3 ;2.599 ;2.71 ;102 ;63 ;yes ;chemistry.stackexchange.com
38,144 ;209 ;0.993 ;164 ;3.482 ;0 ;0.413 ;9.34 ;3.6 ;2 ;1.589 ;1.658 ;60 ;42 ;yes ;chemistry.stackexchange.com
38,144 ;193 ;0.198 ;9 ;0.665 ;3 ;0.362 ;1.412 ;1.6 ;0 ;1.155 ;1.204 ;7 ;4 ;yes ;chemistry.stackexchange.com
38,145 ;192 ;7.586 ;279 ;2.742 ;8 ;6.601 ;19.571 ;6.8 ;1 ;4.188 ;4.368 ;104 ;69 ;yes ;chemistry.stackexchange.com
38,145 ;212 ;1.21 ;153 ;4.99 ;0 ;1.879 ;7.898 ;0.4 ;0 ;0 ;0 ;62 ;48 ;yes ;chemistry.stackexchange.com
38,145 ;198 ;2.005 ;2 ;2.173 ;3 ;2.654 ;2.854 ;4.8 ;2 ;2.744 ;2.862 ;9 ;10 ;yes ;chemistry.stackexchange.com
38,154 ;212 ;2.542 ;40 ;1.798 ;3 ;2.962 ;7.068 ;3.2 ;4 ;2.023 ;2.11 ;14 ;11 ;yes ;chemistry.stackexchange.com
38,154 ;189 ;7.378 ;1,132 ;0.79 ;50 ;6.547 ;20.065 ;9.6 ;8 ;6.546 ;6.827 ;417 ;262 ;yes ;chemistry.stackexchange.com
38,155 ;207 ;3.036 ;3,718 ;0.424 ;146 ;5.039 ;24.108 ;3.6 ;52 ;2.817 ;2.938 ;1,268 ;805 ;yes ;chemistry.stackexchange.com
38,155 ;212 ;10.745 ;3,090 ;0.159 ;124 ;9.341 ;26.304 ;8.8 ;50 ;5.061 ;5.279 ;1,051 ;663 ;yes ;chemistry.stackexchange.com
